V,E,C,genus,B,largest
2039,2892,61,914,5709,1942
2078,2962,46,930,5779,2018
1998,2761,66,829,5704,1904
2026,2792,57,823,5807,1936
2058,2879,64,885,5784,1966
2019,2827,60,868,5706,1933
2057,2921,55,919,5744,1967
2090,2968,48,926,5791,2027
1982,2666,71,755,5823,1883
2053,2905,44,896,5754,1998
2044,2876,60,892,5761,1969
2106,3043,56,993,5739,2029
2027,2791,65,829,5821,1939
2101,3010,55,964,5837,2029
2024,2852,60,888,5682,1930
2043,2879,59,895,5742,1908
2067,2978,54,965,5709,2006
2092,2985,58,951,5791,2012
2044,2868,60,884,5789,1969
2017,2764,65,812,5811,1943
2097,3023,46,972,5776,2042
2111,3059,48,996,5757,2046
2082,3009,44,971,5682,2023
2033,2859,56,882,5714,1956
2082,2944,55,917,5833,1992
2033,2837,60,864,5783,1950
2007,2703,63,759,5838,1912
2030,2825,77,872,5741,1927
2076,3018,44,986,5660,2027
2063,2913,44,894,5755,1999
2021,2781,60,820,5785,1932
2026,2851,59,884,5712,1952
2089,2972,48,931,5779,2039
2019,2797,71,849,5759,1912
2073,2959,60,946,5733,1995
2072,2954,55,937,5735,1993
2062,2922,61,921,5741,1979
2055,2934,52,931,5692,1985
2025,2819,70,864,5762,1937
2049,2902,71,924,5718,1951
2050,2880,64,894,5792,1949
2011,2768,64,821,5777,1887
2046,2854,61,869,5785,1961
2003,2780,70,847,5742,1872
2065,2943,55,933,5742,1987
2064,2899,51,886,5815,2003
2084,2905,46,867,5900,2024
2007,2804,56,853,5667,1929
2081,3002,59,980,5718,2001
2037,2869,49,881,5699,1981
2060,2889,62,891,5784,1964
2033,2818,56,841,5781,1937
2017,2813,51,847,5748,1944
2035,2891,51,907,5688,1968
2070,2974,44,948,5696,2016
2041,2890,52,901,5686,1951
2066,2940,43,917,5747,2012
1999,2735,74,810,5757,1889
2063,2930,51,918,5729,1999
2017,2831,60,874,5692,1928
2033,2819,67,853,5804,1934
2030,2799,58,827,5800,1945
2021,2800,67,846,5785,1916
2064,2870,56,862,5838,1991
2005,2777,66,838,5731,1916
2055,2920,48,913,5708,1986
2058,2890,64,896,5804,1968
2044,2886,56,898,5724,1969
2043,2852,61,870,5784,1970
2056,2916,57,917,5742,1982
2076,2957,53,934,5766,1996
2051,2895,45,889,5737,1995
1972,2693,64,785,5686,1880
2031,2850,49,868,5710,1950
2017,2859,58,900,5633,1914
2055,2889,68,902,5798,1968
2084,2931,47,894,5836,2028
2095,3014,43,962,5750,2044
2031,2844,74,887,5751,1935
2025,2763,72,810,5846,1923
2138,3113,50,1025,5798,2058
2088,2982,64,958,5792,2003
2026,2838,55,867,5744,1939
2063,2925,67,929,5740,1966
2010,2768,64,822,5765,1906
2093,3008,53,968,5734,2028
2000,2770,57,827,5696,1916
2051,2916,58,923,5714,1972
2024,2830,63,869,5736,1930
2080,2955,49,924,5796,2012
2080,2966,49,935,5744,2011
2038,2915,49,926,5645,1960
2036,2863,56,883,5714,1960
2108,3029,65,986,5792,2031
2061,2912,49,900,5779,2001
2079,2948,57,926,5796,1985
2005,2740,57,792,5774,1936
2057,2935,45,923,5697,1979
2015,2818,48,851,5705,1945
2016,2782,66,832,5780,1911
2047,2926,59,938,5681,1956
2101,3002,60,961,5807,2028
2080,2932,61,913,5842,1999
2002,2783,54,835,5673,1924
1992,2678,69,755,5849,1908
2054,2937,52,935,5717,1980
2062,2976,54,968,5657,1992
2115,3082,58,1025,5731,2035
2039,2873,39,873,5719,1995
2012,2783,62,833,5761,1920
2041,2881,63,903,5729,1952
2036,2916,39,919,5611,1952
2047,2855,75,883,5803,1943
2057,2900,52,895,5760,2000
2073,2907,46,880,5849,1999
2044,2866,59,881,5763,1945
2037,2838,66,867,5789,1933
2053,2865,59,871,5811,1974
2082,2962,55,935,5768,2010
2071,3000,51,980,5654,2000
2042,2901,68,927,5699,1960
2011,2758,60,807,5797,1921
2012,2744,66,798,5844,1925
2079,2940,78,939,5807,1972
2029,2817,79,867,5775,1919
2042,2924,74,956,5679,1939
2036,2848,69,881,5778,1922
1963,2665,61,763,5724,1831
2011,2746,57,792,5805,1924
2072,2951,56,935,5776,1964
2046,2831,52,837,5833,1976
2029,2862,68,901,5721,1941
2063,2858,55,850,5854,1991
2092,3001,45,954,5746,2033
2012,2737,58,783,5849,1930
2066,2921,51,906,5787,1983
2047,2867,46,866,5775,1968
1986,2702,79,795,5771,1878
2029,2805,62,838,5773,1916
1996,2761,56,821,5687,1915
2078,2952,62,936,5788,1990
2110,3072,37,999,5737,2058
2018,2801,55,838,5742,1946
2012,2825,82,895,5665,1904
2038,2877,55,894,5703,1954
2026,2802,54,830,5805,1957
2029,2826,54,851,5767,1951
2026,2882,50,906,5617,1935
2033,2790,63,820,5857,1918
2001,2744,60,803,5780,1899
2063,2932,54,923,5793,1979
2014,2774,59,819,5809,1942
2112,3037,52,977,5826,2045
2012,2731,89,808,5852,1853
2053,2868,71,886,5807,1972
2062,2888,68,894,5823,1965
2081,2961,49,929,5793,1998
2088,3020,45,977,5703,2023
2094,2932,50,888,5888,2014
1990,2682,73,765,5822,1896
2039,2892,73,926,5706,1902
2095,3033,47,985,5750,2003
2007,2786,67,846,5716,1932
2079,2978,54,953,5730,2009
2091,2958,52,919,5852,2018
2098,3080,40,1022,5669,2037
2039,2868,57,886,5734,1955
2051,2888,57,894,5761,1953
2078,2999,72,993,5689,1986
2021,2765,58,802,5838,1945
2091,2994,55,958,5770,2012
2078,2935,53,910,5805,2003
2021,2780,49,808,5814,1914
2104,3048,53,997,5736,2023
2133,3127,55,1049,5726,2049
2025,2821,57,853,5733,1952
2028,2812,63,847,5785,1933
2012,2800,51,839,5716,1938
2010,2741,72,803,5840,1923
2023,2772,65,814,5823,1932
2042,2807,63,828,5862,1955
2002,2759,80,837,5734,1882
2041,2880,63,902,5704,1944
2067,2960,50,943,5722,1998
2081,2998,49,966,5712,2023
2026,2831,58,863,5709,1958
2084,3011,51,978,5703,2018
2036,2851,64,879,5767,1929
2021,2829,62,870,5724,1934
2040,2923,60,943,5640,1937
2094,2960,48,914,5874,2024
2093,3013,37,957,5758,2048
2065,2925,54,914,5743,1990
2081,2973,40,932,5761,2029
2101,3054,58,1011,5699,2021
2027,2777,69,819,5823,1938
2029,2811,58,840,5789,1952
2053,2879,48,874,5759,1954
2041,2837,53,849,5823,1975
2062,2930,58,926,5741,1981
2004,2800,66,862,5708,1922
2050,2847,65,862,5835,1971
2071,2924,52,905,5792,2003
2090,3006,57,973,5744,2018
2048,2858,46,856,5796,1976
2035,2868,48,881,5737,1973
2051,2810,65,824,5903,1961
2003,2726,72,795,5834,1879
2086,3011,58,983,5731,2011
2058,2913,45,900,5755,2005
2089,2982,68,961,5788,2002
2070,2890,58,878,5857,1993
2013,2749,58,794,5810,1931
2038,2870,65,897,5735,1938
2055,2890,54,889,5785,1996
2047,2852,61,866,5835,1953
2018,2807,65,854,5728,1939
2025,2795,59,829,5776,1940
2078,3012,43,977,5675,2029
2073,2957,49,933,5762,2006
2059,2926,59,926,5734,1979
2083,2974,47,938,5788,2017
2026,2770,70,814,5847,1927
2096,3044,51,999,5709,2023
2083,3077,42,1036,5589,2023
2044,2870,62,888,5767,1965
2069,2944,52,927,5759,1991
2136,3117,45,1026,5764,2071
2029,2828,68,867,5778,1922
2091,3017,48,974,5741,2015
2080,2965,65,950,5778,1999
2044,2885,66,907,5694,1948
2061,2951,55,945,5701,1971
2037,2875,71,909,5727,1922
2087,3007,54,974,5752,2015
2008,2757,53,802,5752,1948
2121,3112,47,1038,5715,2056
2054,2889,52,887,5757,1989
2024,2840,54,870,5694,1945
2025,2841,60,876,5734,1930
2005,2774,57,826,5718,1941
2042,2823,79,860,5809,1910
2024,2799,64,839,5791,1929
2044,2878,67,901,5756,1963
2046,2920,66,940,5723,1963
2038,2854,58,874,5749,1944
2009,2814,78,883,5693,1911
2039,2781,61,803,5940,1945
2032,2837,66,871,5768,1938
2036,2850,57,871,5750,1959
2060,2914,59,913,5772,1953
2041,2853,52,864,5776,1962
1962,2656,58,752,5699,1854
2019,2777,64,822,5823,1917
2001,2762,70,831,5736,1916
2022,2795,71,844,5789,1929
2032,2903,51,922,5634,1944
2063,2932,53,922,5751,1961
2083,2948,42,907,5781,2038
2025,2862,58,895,5703,1929
2036,2855,45,864,5724,1982
2029,2832,73,876,5731,1893
2036,2861,56,881,5747,1930
2082,2976,63,957,5771,2005
2086,2979,47,940,5785,2028
2086,2986,54,954,5738,2003
2037,2861,65,889,5732,1924
2072,2954,62,944,5754,1994
2080,2983,62,965,5719,1980
2048,2885,63,900,5761,1958
1986,2725,61,800,5727,1909
2042,2855,62,875,5778,1956
2071,2895,69,893,5843,1967
2067,2935,74,942,5780,1942
2070,2953,52,935,5735,1983
2039,2795,80,836,5864,1929
2047,2884,59,896,5739,1968
2047,2914,63,930,5685,1973
2050,2879,66,895,5779,1969
2029,2838,55,864,5737,1943
2058,2874,64,880,5817,1970
2026,2773,61,808,5867,1951
2039,2866,42,869,5742,1956
2017,2773,53,809,5786,1935
2096,2992,60,956,5805,1987
2039,2833,62,856,5827,1933
2043,2837,55,849,5810,1938
2049,2919,55,925,5662,1963
2068,2924,56,912,5776,2001
2071,2999,57,985,5672,2003
2046,2878,65,897,5745,1961
2050,2872,56,878,5775,1961
2064,2961,65,962,5717,1975
2072,2968,62,958,5731,1996
2083,2972,46,935,5780,2018
2066,2932,43,909,5768,2008
2060,2868,59,867,5818,1988
2055,2899,60,904,5762,1990
2048,2885,61,898,5763,1968
2071,2911,44,884,5791,2011
2033,2849,56,872,5725,1956
2075,2990,45,960,5691,2009
2046,2859,58,871,5788,1968
2055,2910,62,917,5732,1960
2052,2882,60,890,5760,1972
2066,2921,45,900,5770,2019
2061,2932,62,933,5753,1969
2011,2837,50,876,5647,1938
2114,3104,49,1039,5690,2046
2094,2984,36,926,5767,2051
2020,2800,50,830,5781,1957
2021,2798,74,851,5820,1905
2064,2957,47,940,5672,2008
2009,2774,62,827,5748,1938
2087,2952,51,916,5821,2015
2031,2844,53,866,5732,1955
2025,2830,59,864,5755,1927
2107,3047,50,990,5769,2036
2028,2815,59,846,5740,1952
2059,2929,51,921,5733,1979
2043,2910,56,923,5706,1964
2062,2943,65,946,5738,1979
2059,2913,62,916,5759,1961
2052,2881,52,881,5767,1988
2096,2990,51,945,5794,2034
2014,2819,56,861,5715,1933
2017,2764,64,811,5799,1939
2048,2857,55,864,5788,1983
2074,2936,57,919,5780,1997
2072,2919,51,898,5757,1997
2033,2856,64,887,5732,1933
1991,2695,61,765,5807,1875
1987,2729,66,808,5737,1895
2093,3022,61,990,5738,2018
2038,2875,47,884,5694,1964
2010,2820,58,868,5663,1922
2047,2903,50,906,5683,1988
2053,2891,69,907,5754,1964
2049,2886,55,892,5734,1959
2054,2861,65,872,5815,1976
2076,2961,51,936,5757,2018
2025,2804,44,823,5771,1968
2056,2890,50,884,5797,1996
2044,2859,40,855,5742,1993
2066,2926,53,913,5763,1993
2055,2879,50,874,5797,1999
2074,2988,47,961,5724,2019
2017,2742,66,791,5831,1940
2057,2961,48,952,5650,2000
2042,2860,58,876,5785,1946
2081,2896,57,872,5890,1989
2026,2803,57,834,5776,1934
2036,2881,56,901,5712,1924
2024,2798,59,833,5782,1953
2025,2824,80,879,5779,1893
2045,2867,52,874,5779,1973
2068,2931,65,928,5775,1980
2080,2977,60,957,5735,2008
2061,2893,57,889,5790,1986
2044,2835,61,852,5818,1934
2033,2828,65,860,5798,1917
2036,2812,66,842,5817,1933
2044,2819,63,838,5819,1975
2072,2972,45,945,5725,2008
2001,2732,67,798,5811,1891
2122,3041,53,972,5841,2056
2066,2905,65,904,5788,1958
2053,2884,62,893,5785,1954
1979,2656,72,749,5840,1884
2034,2829,57,852,5792,1950
2022,2789,61,828,5772,1918
2027,2932,53,958,5578,1932
2055,2862,57,864,5828,1984
2072,2976,64,968,5710,1986
2075,2960,65,950,5745,1960
2092,3027,47,982,5733,2037
2043,2849,56,862,5784,1967
2058,2903,60,905,5775,1972
2073,2914,61,902,5838,1996
2046,2905,55,914,5715,1985
2046,2830,67,851,5823,1961
2055,2840,61,846,5875,1961
2042,2891,54,903,5758,1952
2053,2862,41,850,5820,1973
2056,2916,56,916,5729,1984
2090,2973,54,937,5793,2018
2038,2849,54,865,5794,1972
2076,2957,55,936,5773,1996
2097,3023,50,976,5753,2027
2061,2947,42,928,5698,2006
2094,2975,51,932,5804,2033
2052,2953,54,955,5667,1961
2088,3009,56,977,5754,1992
2036,2844,61,869,5753,1949
2003,2755,64,816,5742,1919
2050,2863,54,867,5810,1979
2109,3049,58,998,5811,2029
2005,2707,81,783,5846,1839
2026,2791,69,834,5802,1929
2071,2926,48,903,5764,2006
2088,2980,43,935,5769,2033
2070,2916,62,908,5807,1958
2019,2793,52,826,5757,1934
2034,2864,63,893,5733,1925
2058,2895,56,893,5775,1962
2073,2969,58,954,5729,1994
2056,2908,51,903,5742,1952
2059,2893,45,879,5780,1991
2022,2789,73,840,5794,1927
2057,2896,53,892,5779,1979
1981,2680,68,767,5774,1817
2066,2929,52,915,5748,1988
1991,2801,58,868,5637,1898
2092,2974,64,946,5819,2006
2026,2790,58,822,5799,1939
2086,2975,51,940,5771,2009
2058,2879,59,880,5824,1977
1994,2695,76,777,5845,1863
2056,2886,56,886,5791,1979
1993,2751,64,822,5721,1901
2048,2902,57,911,5710,1978
2049,2886,52,889,5752,1985
2041,2837,73,869,5789,1950
2096,2981,45,930,5790,2036
2059,2953,53,947,5668,1974
2067,2968,52,953,5672,1994
2085,2998,35,948,5685,2041
2024,2766,54,796,5840,1934
2017,2772,74,829,5797,1919
2030,2868,79,917,5693,1911
2065,2919,51,905,5753,2002
2129,3129,49,1049,5746,2076
2012,2822,64,874,5663,1931
2037,2862,47,872,5755,1963
2075,2930,46,901,5792,2010
2040,2864,52,876,5739,1957
2071,2915,44,888,5824,2014
2083,2954,62,933,5810,2009
2024,2797,63,836,5804,1943
1991,2752,56,817,5716,1884
2062,2927,56,921,5752,1989
2034,2855,67,888,5747,1929
2039,2841,55,857,5782,1959
2063,2949,59,945,5703,1992
2032,2795,63,826,5818,1920
2033,2822,64,853,5790,1948
2063,2857,71,865,5878,1952
2044,2832,53,841,5820,1952
2004,2703,51,750,5832,1913
2037,2826,59,848,5777,1971
2043,2874,48,879,5757,1977
2008,2753,77,822,5807,1891
2066,2956,61,951,5683,1975
2088,3027,51,990,5705,1996
2008,2743,72,807,5836,1907
2063,2971,46,954,5692,1989
2025,2839,53,867,5718,1950
2072,2915,56,899,5843,1995
1996,2682,71,757,5843,1896
2025,2847,49,871,5695,1967
2070,2926,50,906,5791,1991
2091,2982,65,956,5802,1997
2003,2728,61,786,5812,1901
2044,2870,69,895,5750,1944
1990,2716,55,781,5770,1916
2037,2853,55,871,5747,1907
2037,2862,74,899,5715,1911
2079,2936,58,915,5836,2003
2028,2830,50,852,5768,1944
2005,2750,52,797,5769,1938
2068,2933,62,927,5774,1987
2014,2793,76,855,5727,1921
2093,3004,50,961,5771,2038
2063,2914,44,895,5747,1998
2065,2936,66,937,5759,1975
2071,2968,50,947,5706,1999
2082,2978,59,955,5766,2008
2056,2908,55,907,5729,1963
2120,3086,48,1014,5755,2057
2061,2946,59,944,5722,1960
2086,2978,42,934,5778,2024
2075,2947,44,916,5786,2018
1986,2699,65,778,5787,1873
2059,2942,41,924,5680,1991
2083,3036,48,1001,5628,2031
2030,2861,54,885,5712,1961
1990,2715,67,792,5731,1907
2025,2817,55,847,5761,1946
2087,3011,46,970,5703,2019
2066,2958,47,939,5723,2004
2008,2747,50,789,5806,1937
2019,2763,73,817,5840,1906
2083,3013,43,973,5683,2022
2093,3070,42,1019,5648,2019
2023,2803,53,833,5771,1962
2057,2944,61,948,5705,1955
2043,2889,46,892,5725,1993
2020,2769,49,798,5829,1924
2021,2804,58,841,5746,1934
2023,2798,69,844,5800,1913
2039,2852,51,864,5730,1971
2017,2773,78,834,5821,1895
2069,2904,52,887,5804,1995
2054,2863,53,862,5827,1974
1996,2767,71,842,5696,1892
2081,3000,63,982,5715,1985
2077,2964,46,933,5752,2015
2023,2806,61,844,5779,1920
2043,2886,61,904,5727,1955
2020,2764,78,822,5827,1915
2077,2966,52,941,5765,1988
2008,2784,63,839,5688,1930
2038,2817,54,833,5828,1965
2051,2884,59,892,5793,1967
2041,2882,58,899,5709,1964
2090,2984,54,948,5727,2024
2016,2834,58,876,5680,1945
2000,2748,52,800,5757,1893
2027,2844,55,872,5736,1960
2037,2835,68,866,5785,1949
2036,2804,61,829,5809,1952
2066,2910,46,890,5778,2000
1995,2794,63,862,5665,1915
2041,2902,50,911,5672,1975
2057,2874,58,875,5821,1977
2002,2813,50,861,5621,1933
2100,3048,48,996,5739,2028
2047,2852,53,858,5828,1964
2132,3108,53,1029,5763,2040
2084,2970,44,930,5766,2027
1983,2648,87,752,5864,1864
2052,2868,59,875,5797,1973
2055,2875,55,875,5804,1967
2084,2986,65,967,5762,1985
2090,2962,52,924,5848,2008
2006,2699,64,757,5881,1911
2069,2961,52,944,5722,1995
1999,2741,71,813,5762,1878
2047,2918,49,920,5703,1978
2018,2808,61,851,5727,1930
2035,2874,68,907,5689,1938
2115,3076,45,1006,5737,2054
2060,2909,66,915,5748,1935
2102,3006,53,957,5826,2031
2047,2834,64,851,5856,1955
2007,2800,57,850,5696,1941
2076,2931,53,908,5817,2000
1998,2742,59,803,5752,1929
2058,2858,66,866,5866,1980
2098,3051,56,1009,5724,2025
2022,2798,73,849,5744,1941
2007,2782,60,835,5706,1919
2059,2929,54,924,5706,1996
2100,3003,50,953,5826,2032
2083,2985,43,945,5727,2029
2087,3022,40,975,5713,2038
2086,3039,54,1007,5699,2016
2075,2932,53,910,5811,1999
2052,2883,53,884,5766,1971
2027,2850,58,881,5715,1948
2065,2962,58,955,5704,1976
2052,2902,55,905,5748,1963
2028,2818,52,842,5754,1966
2108,3078,49,1019,5726,2042
1992,2734,72,814,5678,1907
2055,2945,52,942,5670,1985
2039,2825,61,847,5832,1955
2081,2953,69,941,5766,1983
2096,3017,55,976,5735,2029
2042,2900,53,911,5722,1955
2057,2886,56,885,5797,1971
2094,3025,50,981,5754,2027
2060,2892,74,906,5796,1947
2131,3058,43,970,5854,2070
2086,2928,53,895,5888,2021
2062,2979,51,968,5679,1964
2032,2798,68,834,5843,1946
2033,2851,50,868,5696,1958
2052,2914,52,914,5719,1959
2073,2975,52,954,5704,2003
2034,2839,59,864,5757,1945
2055,2883,63,891,5820,1977
2109,3002,60,953,5878,2027
2059,2876,60,877,5805,1975
2076,2978,48,950,5730,1991
2044,2903,46,905,5702,1987
2071,2920,60,909,5821,1996
2076,3013,55,992,5664,1995
2026,2796,56,826,5764,1929
2073,2922,52,901,5802,2009
1990,2755,57,822,5671,1898
2038,2847,61,870,5765,1954
2043,2856,56,869,5760,1970
2076,2911,60,895,5872,1987
2027,2788,63,824,5785,1880
2043,2863,58,878,5790,1968
1956,2600,68,712,5780,1857
2036,2864,59,887,5710,1929
2097,2961,63,927,5871,1992
2043,2883,78,918,5746,1945
2063,2903,55,895,5795,1959
2007,2811,60,864,5672,1922
2059,2944,60,945,5715,1985
2021,2843,46,868,5699,1956
2050,2902,42,894,5746,1988
2036,2864,58,886,5713,1943
2048,2852,64,868,5812,1964
2093,2995,61,963,5748,2021
2054,2883,46,875,5772,1999
2084,3004,51,971,5715,2016
2055,2895,43,883,5735,1968
2041,2837,55,851,5777,1964
2026,2855,54,883,5695,1949
2094,3007,46,959,5767,2025
2031,2816,67,852,5804,1932
2031,2831,56,856,5784,1970
2053,2868,60,875,5838,1972
2070,2905,63,898,5833,1968
2055,2884,49,878,5807,1990
2024,2811,43,830,5753,1962
2039,2823,69,853,5786,1928
1999,2788,51,840,5680,1931
2078,3001,60,983,5690,1984
2062,2870,61,869,5852,1975
2066,2965,48,947,5712,2004
2051,2887,63,899,5793,1943
2015,2752,57,794,5821,1936
2065,2910,60,905,5794,1993
2054,2891,56,893,5772,1983
2097,3019,57,979,5761,2032
2023,2795,55,827,5807,1959
2072,2946,62,936,5793,1991
2061,2967,49,955,5656,2003
2051,2850,46,845,5820,1979
2095,3005,46,956,5784,2041
2060,2924,43,907,5770,2009
2063,2899,54,890,5807,1988
2076,2998,58,980,5720,1954
1961,2665,59,763,5697,1884
2027,2853,60,886,5701,1947
2058,2919,61,922,5741,1978
2015,2804,61,850,5734,1919
2014,2843,63,892,5658,1927
2001,2775,68,842,5754,1895
2070,2848,53,831,5927,1997
2015,2801,54,840,5732,1933
2049,2864,42,857,5782,1997
2074,2915,48,889,5850,1997
2058,2901,59,902,5774,1976
2018,2788,66,836,5769,1923
2006,2768,76,838,5772,1909
2040,2882,62,904,5730,1963
2056,2891,61,896,5794,1980
2005,2763,63,821,5735,1900
2038,2807,63,832,5836,1953
2050,2935,51,936,5645,1967
2009,2723,67,781,5821,1889
2020,2789,62,831,5769,1924
2060,2911,51,902,5745,1996
2044,2811,57,824,5867,1967
2079,3039,39,999,5617,2021
2078,2951,57,930,5807,1989
2065,2918,54,907,5753,1996
2069,2978,69,978,5711,1971
2018,2737,70,789,5882,1919
2052,2912,60,920,5717,1965
2035,2834,63,862,5788,1949
2036,2814,47,825,5827,1979
2096,3012,49,965,5762,2024
2071,2938,67,934,5792,1982
2068,2926,71,929,5745,1960
1969,2647,71,749,5765,1863
2120,3058,60,998,5835,2048
2033,2871,75,913,5691,1909
2046,2858,54,866,5777,1957
2026,2826,51,851,5745,1955
2034,2870,56,892,5732,1947
2043,2873,57,887,5721,1968
2058,2947,52,941,5690,1999
2079,2937,47,905,5833,2024
2035,2790,75,830,5883,1926
2066,2951,34,919,5705,2019
2068,2921,47,900,5783,1991
2056,2954,51,949,5661,1985
2038,2809,54,825,5826,1948
2037,2855,60,878,5738,1964
2042,2871,72,901,5764,1947
2092,3031,51,990,5689,2023
2058,2915,52,909,5753,1971
2136,3116,39,1019,5775,2077
2046,2845,49,848,5811,1977
2036,2808,45,817,5816,1979
2088,2997,40,949,5739,2037
2077,2960,61,944,5743,1982
2021,2793,61,833,5787,1947
2021,2852,45,876,5661,1961
2100,2993,63,956,5825,2013
2078,2983,59,964,5735,1976
2095,3018,50,973,5749,2004
2066,2946,66,946,5740,1973
2046,2880,51,885,5737,1966
2032,2872,58,898,5676,1947
2053,2892,61,900,5749,1976
2050,2877,59,886,5796,1950
2106,3040,54,988,5768,2031
2021,2801,61,841,5782,1927
2070,2952,51,933,5746,2005
2081,2988,46,953,5732,2000
2051,2905,60,914,5716,1967
2121,3028,68,975,5835,2031
2111,3092,46,1027,5703,2048
2044,2857,60,873,5768,1968
2048,2871,61,884,5781,1960
2028,2769,58,799,5873,1942
2080,2970,49,939,5738,2014
2004,2757,66,819,5730,1902
2118,3078,48,1008,5780,2049
2052,2900,43,891,5717,1994
2035,2828,71,864,5790,1929
2041,2844,64,867,5792,1940
2046,2902,56,912,5703,1967
2009,2776,48,815,5738,1940
2047,2873,52,878,5759,1976
2002,2755,76,829,5783,1892
1986,2736,79,829,5717,1865
2044,2864,67,887,5793,1895
2094,3025,48,979,5715,2021
2013,2817,60,864,5687,1916
2038,2843,59,864,5773,1935
2086,3022,42,978,5700,2034
2038,2835,45,842,5778,1985
2075,2944,49,918,5810,2018
2037,2862,57,882,5704,1955
2058,2939,66,947,5722,1972
2074,2926,60,912,5815,2005
2085,2955,44,914,5772,2013
2017,2783,64,830,5762,1934
2096,3047,52,1003,5692,2038
2051,2859,67,875,5833,1952
2120,3053,57,990,5803,2040
2018,2789,50,821,5761,1946
2075,2933,51,909,5766,1986
2070,2958,44,932,5735,1992
2014,2804,64,854,5700,1921
2097,3020,56,979,5770,2033
2085,2966,57,938,5806,2008
2006,2753,62,809,5744,1919
2046,2930,55,939,5661,1956
2030,2854,52,876,5688,1960
2051,2920,61,930,5713,1960
2047,2861,58,872,5785,1962
2002,2767,57,822,5712,1918
2032,2775,57,800,5862,1963
2035,2900,76,941,5672,1920
2072,2970,44,942,5739,1998
2143,3185,37,1079,5676,2103
2089,3008,40,959,5727,2042
2063,2980,51,968,5669,1989
2023,2837,52,866,5693,1916
2060,2908,59,907,5726,1988
2066,2854,65,853,5918,1980
2074,2975,57,958,5721,1999
2021,2816,59,854,5760,1942
1991,2756,65,830,5676,1885
2052,2916,62,926,5722,1975
2032,2816,67,851,5794,1922
2060,2914,44,898,5738,2005
2044,2873,63,892,5749,1954
2068,2919,62,913,5784,1966
2034,2859,54,879,5724,1965
2059,2916,58,915,5749,1982
2068,2963,42,937,5715,2020
2054,2911,53,910,5726,1976
2039,2863,52,876,5725,1976
1985,2667,80,762,5826,1865
2050,2917,52,919,5695,1978
2014,2774,61,821,5775,1920
1997,2717,64,784,5795,1904
2057,2927,47,917,5707,1999
2069,2977,51,959,5696,1986
2006,2784,58,836,5710,1913
1998,2751,73,826,5703,1888
2022,2808,64,850,5728,1928
2002,2755,59,812,5747,1930
2069,2980,55,966,5693,2002
2038,2878,48,888,5690,1972
2020,2811,62,853,5750,1926
2100,3059,64,1023,5670,1994
2068,2928,50,910,5789,2002
2030,2846,51,867,5729,1967
1999,2738,79,818,5818,1854
2052,2886,59,893,5782,1977
2055,2934,47,926,5673,1991
2047,2940,47,940,5639,1981
2049,2848,71,870,5839,1931
2010,2778,54,822,5741,1934
2056,2920,55,919,5719,1979
2049,2906,60,917,5734,1966
2070,2917,61,908,5810,2001
2033,2852,66,885,5763,1954
2053,2857,71,875,5856,1963
2007,2714,66,773,5879,1923
2044,2846,63,865,5807,1961
2067,2959,64,956,5714,1950
2049,2926,44,921,5686,1980
2034,2841,61,868,5742,1953
2045,2841,72,868,5820,1942
1992,2723,72,803,5781,1889
2066,2956,51,941,5705,1996
2088,3027,52,991,5690,2028
2036,2869,57,890,5732,1972
2068,2931,45,908,5771,2003
2053,2894,46,887,5781,1970
2066,2970,68,972,5730,1983
2052,2907,59,914,5679,1983
2053,2899,45,891,5773,1994
2057,2905,66,914,5765,1963
2019,2795,66,842,5773,1929
2108,3076,47,1015,5710,2052
2089,2993,65,969,5769,2006
2017,2828,55,866,5708,1922
2079,2974,47,942,5768,2019
2086,2996,60,970,5742,2010
2050,2863,66,879,5796,1952
2038,2888,71,921,5715,1926
2088,3031,52,995,5703,2018
2043,2871,58,886,5748,1923
2072,2968,47,943,5718,2004
2107,3055,41,989,5765,2049
1994,2748,64,818,5712,1907
2057,2893,59,895,5753,1984
2078,3005,47,974,5664,2016
1990,2715,59,784,5759,1886
2036,2846,58,868,5773,1950
2048,2917,48,917,5710,1994
2024,2778,57,811,5800,1939
1991,2723,66,798,5772,1887
2028,2879,46,897,5642,1972
2114,3080,48,1014,5717,2053
2048,2895,62,909,5727,1969
2070,2972,55,957,5704,1975
2100,3055,45,1000,5706,2042
2000,2773,60,833,5727,1910
2022,2782,68,828,5817,1910
2049,2905,60,916,5731,1966
2061,2938,50,927,5706,1992
2060,2978,48,966,5647,1988
1995,2699,77,781,5838,1894
2129,3143,52,1066,5715,2056
2005,2766,80,841,5761,1841
2084,2965,45,926,5776,2028
2087,2980,50,943,5774,2007
2047,2878,68,899,5777,1955
2074,2993,45,964,5692,2002
1966,2650,68,752,5737,1875
2087,2999,52,964,5773,2019
2087,2964,47,924,5794,1998
2027,2844,51,868,5719,1937
2035,2846,46,857,5784,1958
2062,2922,74,934,5781,1961
2032,2775,70,813,5844,1940
2000,2729,78,807,5789,1887
1994,2735,67,808,5747,1891
2033,2804,55,826,5824,1960
2003,2725,49,771,5805,1925
2046,2843,71,868,5810,1937
2031,2858,53,880,5728,1943
2074,2886,69,881,5892,1977
2052,2918,60,926,5744,1962
2056,2913,56,913,5741,1954
2034,2836,53,855,5792,1970
2073,2988,52,967,5682,1996
