V,E,C,genus,B,largest
1987,2709,61,783,5747,1898
2010,2778,57,825,5719,1935
2057,2878,41,862,5757,2004
2040,2860,77,897,5767,1946
2020,2807,62,849,5745,1934
2036,2830,67,861,5785,1946
2027,2787,66,826,5823,1894
2070,2965,56,951,5692,1986
2047,2891,73,917,5741,1948
2028,2880,57,909,5636,1934
2125,3100,52,1027,5751,2047
2077,2937,57,917,5797,1999
2104,3037,40,973,5755,2045
2047,2852,54,859,5793,1974
2079,2959,58,938,5778,1997
2080,2938,52,910,5817,1983
2075,2912,66,903,5818,1989
2017,2795,48,826,5748,1952
2001,2736,57,792,5761,1899
2055,2897,69,911,5757,1963
2054,2913,60,919,5718,1979
2062,2904,54,896,5805,1978
2047,2840,63,856,5843,1964
2053,2866,56,869,5825,1966
2094,2997,52,955,5760,2018
2029,2825,56,852,5754,1945
2032,2798,64,830,5839,1960
2115,3023,70,978,5868,2010
2023,2836,64,877,5701,1910
2057,2858,74,875,5870,1965
2053,2836,58,841,5874,1967
2061,2933,68,940,5717,1929
2086,3008,48,970,5704,2011
2049,2914,66,931,5706,1954
2043,2910,43,910,5689,1980
2059,2876,60,877,5827,1974
2113,3050,61,998,5795,2034
2067,2944,53,930,5727,1990
2096,3004,47,955,5759,2039
2057,2897,54,894,5759,1979
2071,2981,52,962,5693,2006
2048,2854,62,868,5804,1969
2047,2897,53,903,5705,1976
2083,2987,55,959,5730,2013
2087,2976,53,942,5738,2019
2035,2888,51,904,5684,1952
2014,2775,78,839,5754,1917
2069,2909,63,903,5788,1950
2045,2847,73,875,5802,1918
2091,2976,49,934,5815,1999
2112,3085,32,1005,5738,2069
2054,2867,49,862,5805,1981
2062,2914,45,897,5766,2003
2060,2896,56,892,5825,1994
2035,2751,66,782,5954,1934
2043,2876,57,890,5724,1956
2015,2786,61,832,5764,1917
2089,3031,62,1004,5662,2011
2032,2800,63,831,5814,1948
2085,3022,35,972,5679,2035
2047,2892,59,904,5738,1966
2016,2809,53,846,5743,1947
2057,2897,48,888,5749,1995
2079,2924,44,889,5845,2013
2054,2908,41,895,5720,2006
2061,2937,51,927,5734,1989
2065,2950,63,948,5706,1987
2053,2938,66,951,5693,1930
2059,2892,62,895,5799,1986
2031,2802,66,837,5847,1930
1990,2735,63,808,5743,1903
2079,3006,52,979,5659,1985
2078,2960,54,936,5783,1995
2011,2719,63,771,5860,1928
2051,2906,44,899,5749,1990
2069,2921,63,915,5778,1972
2032,2832,47,847,5740,1964
2095,3026,52,983,5731,2023
2022,2832,72,882,5718,1927
2035,2869,55,889,5722,1950
2094,2986,49,941,5802,2024
2029,2808,72,851,5784,1916
2116,3098,48,1030,5728,2051
2013,2715,75,777,5873,1910
2048,2923,59,934,5687,1967
2000,2721,72,793,5809,1896
2028,2853,56,881,5718,1946
2048,2894,52,898,5713,1976
2063,2933,56,926,5765,1979
2057,2889,55,887,5789,1951
2133,3106,60,1033,5781,2053
2085,2975,54,944,5803,2009
2046,2890,44,888,5704,1977
2026,2850,70,894,5685,1921
2018,2827,58,867,5690,1926
2065,2898,65,898,5820,1984
2033,2841,61,869,5758,1948
2052,2874,55,877,5805,1977
2030,2795,61,826,5809,1928
2034,2883,59,908,5665,1932
2044,2828,48,832,5828,1984
1996,2772,65,841,5695,1852
2048,2907,63,922,5721,1951
2035,2897,61,923,5677,1942
2009,2767,61,819,5781,1923
2023,2869,55,901,5669,1951
2019,2848,46,875,5655,1954
2076,2951,45,920,5779,2025
2058,2918,56,916,5767,1969
2067,2930,54,917,5764,1986
2014,2792,47,825,5704,1958
2078,2959,50,931,5789,2003
2090,2971,48,929,5798,2023
2066,2934,63,931,5769,1970
2072,2963,60,951,5768,1991
2062,2885,54,877,5840,1990
2098,2994,60,956,5806,1993
2059,2905,55,901,5779,1978
2085,2967,68,950,5794,1986
2029,2851,59,881,5744,1943
2061,2928,54,921,5737,1981
