V,E,B,lb
2071,2931,5796,861
2059,2914,5763,856
2031,2875,5672,845
2087,2962,5824,876
2054,2876,5798,823
2002,2740,5795,739
2040,2837,5800,798
2032,2839,5772,808
2049,2912,5718,864
2031,2820,5810,790
2031,2848,5726,818
2024,2795,5799,772
2038,2880,5697,843
2056,2871,5826,816
2064,2930,5786,867
2066,2920,5781,855
2059,2944,5704,886
2087,2993,5756,907
2050,2914,5702,865
2027,2859,5676,833
2051,2897,5721,847
2025,2832,5717,808
1998,2715,5802,718
2019,2755,5880,737
2029,2786,5867,758
2048,2866,5787,819
2105,3036,5739,932
2064,2926,5782,863
2086,2969,5794,884
2029,2812,5776,784
2022,2782,5829,761
2062,2937,5723,876
2041,2876,5743,836
2049,2902,5729,854
2091,2983,5780,893
2008,2763,5747,756
2017,2802,5763,786
2016,2834,5655,819
2063,2953,5723,891
2057,2870,5818,814
2029,2834,5787,806
2040,2860,5755,821
2095,3032,5757,938
2070,2965,5736,896
2019,2810,5761,792
2002,2797,5676,796
2039,2866,5722,828
2053,2915,5699,863
2003,2755,5768,753
2030,2854,5718,825
2022,2747,5883,726
2042,2895,5718,854
2072,2955,5683,884
2032,2821,5750,790
2038,2832,5807,795
2018,2775,5779,758
2040,2868,5772,829
2045,2865,5761,821
2059,2903,5790,845
2046,2906,5710,861
2108,3086,5696,979
2062,2908,5781,847
2032,2850,5750,819
2088,2994,5781,907
2048,2906,5713,859
2046,2899,5718,854
2053,2898,5727,846
2017,2794,5778,778
2023,2767,5801,745
2016,2808,5723,793
2074,2992,5678,919
2047,2893,5739,847
2066,2910,5776,845
2096,3017,5754,922
2038,2847,5748,810
2106,3042,5764,937
2048,2836,5835,789
2017,2797,5757,781
2020,2812,5737,793
2071,2961,5742,891
2115,3034,5821,920
2021,2821,5721,801
2025,2782,5834,758
2001,2729,5785,729
2066,2936,5740,871
2027,2812,5764,786
2031,2770,5881,740
2018,2737,5869,720
2096,3013,5771,918
2105,2991,5843,887
2066,2914,5820,849
2016,2811,5730,796
2060,2915,5791,856
2083,2926,5836,844
2032,2833,5769,802
2012,2796,5756,785
2020,2783,5823,764
2058,2895,5800,838
1989,2715,5783,727
2064,2938,5729,875
2008,2759,5806,752
2048,2909,5687,862
2008,2755,5767,748
2038,2839,5771,802
2051,2962,5627,912
2056,2892,5783,837
2069,2966,5702,898
2005,2736,5787,732
2061,2913,5766,853
2081,2950,5796,870
2082,2965,5761,884
2019,2774,5820,756
2060,2942,5698,883
2024,2857,5702,834
2056,2855,5836,800
2077,2931,5803,855
2073,2949,5776,877
2019,2814,5737,796
1983,2685,5802,703
2024,2827,5743,804
2056,2881,5788,826
2056,2890,5762,835
2058,2924,5737,867
2085,2981,5759,897
2069,2955,5726,887
2087,2993,5780,907
2053,2928,5721,876
2039,2903,5672,865
2054,2881,5788,828
2078,2961,5746,884
2009,2823,5657,815
2002,2731,5793,730
2070,2971,5719,902
2015,2772,5805,758
2086,2995,5752,910
2014,2795,5741,782
2022,2814,5753,793
2039,2883,5711,845
2054,2871,5778,818
2109,3013,5808,905
2037,2886,5702,850
2091,2961,5816,871
