V,E,B,lb
2035,2826,5767,792
2041,2855,5731,815
2047,2851,5830,805
2098,2991,5840,894
2050,2920,5684,871
2065,2951,5741,887
2015,2815,5723,801
2017,2768,5802,752
2044,2872,5746,829
2060,2925,5759,866
2046,2849,5804,804
2028,2826,5753,799
2047,2886,5758,840
1961,2635,5775,675
2084,2999,5717,916
2106,3027,5785,922
2087,2979,5770,893
2092,3045,5696,954
2034,2834,5781,801
1970,2629,5813,660
2026,2848,5738,823
2081,2968,5775,888
1984,2660,5862,677
2064,2916,5767,853
2040,2823,5823,784
2016,2828,5701,813
2019,2781,5800,763
2046,2821,5863,776
2035,2847,5772,813
2072,2934,5789,863
1997,2741,5756,745
2029,2825,5773,797
2083,2989,5746,907
2025,2819,5758,795
2048,2902,5718,855
2035,2838,5772,804
2066,2963,5726,898
2019,2814,5734,796
2086,3008,5680,923
1994,2735,5745,742
2028,2778,5846,751
2097,3021,5759,925
2002,2722,5769,721
2057,2929,5713,873
2073,2935,5786,863
2062,2869,5844,808
2033,2794,5843,762
2042,2894,5720,853
2001,2762,5728,762
2129,3103,5756,975
2025,2806,5776,782
2072,2933,5781,862
2056,2920,5720,865
2064,2871,5842,808
2044,2868,5773,825
2021,2781,5804,761
2002,2771,5716,770
2051,2884,5783,834
2039,2878,5708,840
2051,2854,5830,804
2059,2902,5790,844
2075,2967,5709,893
2038,2853,5780,816
2097,2961,5876,865
2106,3035,5793,930
2078,2943,5815,866
2035,2847,5742,813
2045,2883,5753,839
2007,2823,5633,817
2059,2903,5756,845
2083,2999,5738,917
2060,2909,5782,850
2079,2960,5791,882
2027,2875,5661,849
2052,2840,5845,789
2111,3083,5727,973
2071,2959,5734,889
2085,2994,5743,910
2006,2751,5765,746
2043,2840,5809,798
2039,2875,5706,837
1981,2637,5850,657
2082,2962,5787,881
2012,2772,5787,761
2104,3049,5743,946
2091,2970,5785,880
2049,2815,5872,767
2065,2886,5848,822
2019,2774,5822,756
2000,2751,5699,752
1992,2722,5755,731
2041,2833,5834,793
2056,2857,5844,802
2021,2816,5730,796
2062,2909,5803,848
2052,2895,5736,844
1997,2727,5789,731
2018,2782,5792,765
2096,3011,5744,916
2021,2756,5832,736
2017,2834,5696,818
2091,3020,5738,930
2003,2729,5811,727
1994,2752,5704,759
2014,2802,5750,789
2055,2869,5787,815
2112,3063,5765,952
2051,2890,5773,840
2063,2954,5693,892
1998,2752,5739,755
2019,2760,5814,742
2022,2750,5855,729
2064,2947,5702,884
1992,2749,5707,758
2076,2970,5754,895
2027,2842,5746,816
2040,2846,5759,807
2016,2799,5763,784
2027,2841,5737,815
1968,2649,5770,682
2053,2924,5720,872
2086,3008,5736,923
2097,3034,5745,938
2039,2838,5769,800
2079,2940,5825,862
2015,2713,5885,699
2051,2886,5780,836
2028,2835,5775,808
2004,2808,5698,805
2036,2833,5780,798
2056,2928,5717,873
2052,2901,5742,850
1997,2705,5807,709
2072,2933,5787,862
2067,2979,5659,913
2011,2799,5706,789
2090,3040,5674,951
2052,2887,5778,836
2054,2883,5791,830
1992,2753,5728,762
2047,2881,5744,835
2026,2787,5832,762
2070,2946,5782,877
2004,2749,5792,746
2054,2878,5804,825
1980,2683,5736,704
2043,2848,5827,806
2017,2798,5738,782
2078,2985,5735,908
2067,2952,5739,886
2082,2949,5815,868
2064,2909,5765,846
2046,2896,5702,851
2037,2841,5752,805
2088,2975,5773,888
2016,2826,5711,811
2005,2779,5753,775
2078,2927,5837,850
2059,2931,5735,873
1996,2714,5792,719
2040,2887,5702,848
2078,2952,5813,875
2031,2859,5685,829
2009,2786,5728,778
2134,3093,5800,960
2036,2906,5639,871
2098,3043,5703,946
2088,2997,5789,910
2085,2946,5848,862
2065,2911,5784,847
2063,2886,5820,824
2032,2834,5752,803
2070,2958,5749,889
2104,3072,5676,969
2063,2929,5764,867
2069,2965,5714,897
2069,2884,5873,816
2039,2815,5815,777
2035,2835,5766,801
2003,2798,5678,796
2058,2926,5742,869
2005,2689,5880,685
2004,2708,5820,705
2066,2948,5755,883
2016,2868,5622,853
2039,2837,5781,799
2017,2765,5809,749
2041,2907,5705,867
2044,2903,5687,860
2022,2814,5760,793
2001,2701,5836,701
2026,2859,5672,834
2016,2798,5754,783
2042,2859,5761,818
2064,2917,5761,854
2071,2964,5724,894
2015,2762,5828,748
2037,2884,5698,848
2057,2879,5770,823
2083,2976,5785,894
2050,2863,5790,814
2033,2827,5764,795
2083,2945,5803,863
1993,2747,5739,755
2071,2957,5724,887
2083,2972,5738,890
2060,2870,5858,811
2031,2834,5756,804
2026,2830,5768,805
2067,2899,5809,833
2024,2741,5857,718
2103,3003,5784,901
2037,2779,5886,743
2017,2816,5698,800
2011,2796,5723,786
2010,2746,5829,737
2026,2851,5705,826
2008,2815,5664,808
2019,2765,5790,747
2076,2973,5733,898
2095,2993,5789,899
2064,2868,5849,805
2018,2738,5879,721
2082,2959,5794,878
2041,2886,5702,846
1991,2691,5816,701
2055,2933,5690,879
2048,2935,5669,888
2116,3052,5822,937
2061,2951,5681,891
2017,2796,5728,780
2087,3001,5765,915
2070,2908,5817,839
2051,2897,5711,847
2052,2845,5859,794
2020,2832,5693,813
2027,2815,5784,789
2106,3067,5693,962
2018,2816,5747,799
2035,2806,5838,772
2062,2898,5781,837
2105,3103,5636,999
1987,2707,5760,721
2109,3018,5831,910
2032,2819,5760,788
2022,2853,5688,832
2008,2756,5776,749
1996,2724,5778,729
2118,3160,5628,1043
2022,2769,5823,748
2042,2883,5731,842
2061,2904,5777,844
2099,3007,5793,909
2035,2815,5788,781
2019,2767,5815,749
2053,2882,5823,830
2015,2785,5728,771
2069,2980,5721,912
2039,2857,5765,819
1990,2736,5727,747
2042,2891,5713,850
2081,2937,5812,857
2058,2865,5809,808
2007,2783,5735,777
2046,2882,5731,837
2065,2882,5842,818
2067,2896,5828,830
2094,2990,5793,897
2076,2983,5693,908
2010,2788,5725,779
2029,2797,5817,769
2046,2846,5821,801
2063,2933,5751,871
2005,2720,5806,716
2030,2816,5801,787
2058,2938,5714,881
1990,2726,5744,737
2083,2981,5756,899
2062,2868,5851,807
2095,2978,5800,884
2056,2929,5715,874
2017,2780,5765,764
2073,2943,5757,871
2064,2937,5732,874
2012,2765,5798,754
2013,2764,5761,752
2044,2914,5671,871
2051,2881,5738,831
2094,3037,5721,944
2103,3038,5729,936
2034,2813,5797,780
2064,2883,5831,820
2080,3001,5677,922
2011,2800,5720,790
2131,3123,5725,993
2065,2920,5769,856
2029,2839,5770,811
2032,2882,5681,851
2058,2898,5779,841
2127,3131,5720,1005
2027,2829,5726,803
2025,2830,5748,806
2048,2895,5726,848
2100,3004,5770,905
2050,2930,5650,881
2022,2787,5801,766
2080,2957,5803,878
2006,2769,5753,764
2045,2906,5679,862
2017,2829,5694,813
2045,2865,5767,821
2094,3009,5773,916
2025,2829,5760,805
2022,2808,5757,787
2079,2977,5723,899
2009,2790,5701,782
2040,2856,5803,817
2079,2948,5769,870
2107,3086,5687,980
2117,3069,5765,953
2063,2924,5762,862
1965,2632,5802,668
2037,2912,5652,876
2066,2998,5643,933
2039,2848,5776,810
2051,2876,5799,826
2036,2868,5725,833
2062,2907,5756,846
2039,2881,5744,843
2080,2956,5754,877
2055,2911,5749,857
2120,3045,5830,926
2002,2744,5780,743
2069,2913,5814,845
2114,3059,5770,946
1983,2720,5731,738
2058,2860,5846,803
2003,2709,5848,707
2047,2885,5732,839
1986,2682,5803,697
2062,2960,5681,899
2031,2776,5879,746
2030,2849,5716,820
2088,2956,5837,869
2067,2916,5814,850
2047,2869,5764,823
2105,3060,5761,956
2068,2932,5779,865
2089,2969,5774,881
2028,2812,5774,785
2008,2780,5734,773
2119,3079,5764,961
2053,2876,5769,824
2107,3069,5745,963
2083,2939,5820,857
2054,2905,5740,852
2023,2805,5792,783
2034,2814,5803,781
2000,2768,5742,769
2033,2831,5765,799
2096,2994,5784,899
2037,2851,5756,815
2061,2899,5803,839
2040,2823,5790,784
2068,2926,5778,859
2102,3007,5808,906
2021,2815,5731,795
2044,2893,5702,850
2030,2883,5674,854
1983,2738,5681,756
2065,2941,5743,877
2034,2823,5790,790
2035,2835,5769,801
2012,2718,5864,707
2062,2881,5815,820
2057,2938,5699,882
2074,2943,5738,870
2097,2987,5811,891
2078,2909,5866,832
2038,2860,5714,823
2012,2783,5737,772
2084,2960,5795,877
2059,2929,5753,871
2066,2947,5722,882
2090,3005,5745,916
2101,3035,5739,935
2100,3026,5739,927
2051,2959,5654,909
2033,2836,5754,804
2080,3018,5669,939
2032,2801,5814,770
2056,2870,5800,815
2027,2766,5860,740
2091,3009,5766,919
2026,2799,5831,774
2091,3011,5701,921
2050,2879,5737,830
2069,2911,5823,843
2080,2971,5771,892
1988,2728,5722,741
2067,2977,5711,911
2055,2916,5715,862
2036,2832,5765,797
2029,2863,5679,835
2031,2790,5826,760
2019,2763,5800,745
2044,2895,5723,852
2028,2856,5696,829
2027,2809,5769,783
2107,3054,5756,948
1942,2573,5803,632
2058,2894,5790,837
2034,2827,5789,794
2001,2770,5741,770
2019,2810,5736,792
2022,2787,5801,766
2076,2964,5729,889
2081,2974,5737,894
2074,2943,5789,870
2009,2765,5770,757
2061,2953,5702,893
2028,2795,5824,768
2064,2890,5843,827
2048,2846,5852,799
2075,2944,5783,870
2075,2989,5698,915
2018,2794,5747,777
1975,2703,5724,729
2006,2776,5696,771
2017,2768,5834,752
2029,2789,5849,761
2074,2938,5801,865
2052,2869,5786,818
2096,3030,5719,935
2086,3028,5702,943
2038,2885,5720,848
2047,2882,5754,836
2100,3008,5809,909
1989,2670,5872,682
2072,2924,5785,853
2035,2783,5888,749
2060,2935,5733,876
2053,2952,5631,900
2019,2828,5715,810
2104,3023,5809,920
2111,3051,5773,941
2033,2843,5756,811
2110,3097,5689,988
2033,2884,5659,852
2063,2957,5711,895
1996,2798,5660,803
2097,2978,5844,882
2004,2755,5765,752
2035,2818,5802,784
2046,2867,5742,822
2043,2866,5757,824
2036,2850,5758,815
2067,2966,5706,900
2084,2989,5729,906
2065,2907,5820,843
2038,2860,5735,823
2024,2828,5743,805
2035,2820,5783,786
2036,2843,5738,808
2081,2924,5841,844
2053,2909,5737,857
2098,3016,5754,919
2004,2741,5768,738
2047,2922,5679,876
2079,2954,5779,876
2028,2782,5818,755
2052,2876,5777,825
2052,2838,5826,787
2078,2940,5813,863
2082,2979,5729,898
2026,2816,5773,791
2094,2980,5794,887
1979,2668,5781,690
2067,2921,5774,855
2033,2788,5864,756
2094,3008,5741,915
2061,2885,5815,825
2101,3000,5799,900
2039,2875,5743,837
1981,2682,5760,702
1989,2740,5703,752
2067,2939,5737,873
2087,2971,5804,885
2072,2956,5755,885
2047,2914,5712,868
2017,2773,5794,757
2072,2971,5707,900
2053,2880,5817,828
2052,2898,5711,847
2026,2821,5724,796
2039,2862,5731,824
1999,2717,5787,719
2019,2775,5792,757
2077,2996,5701,920
2119,3097,5758,979
2026,2790,5791,765
2075,2937,5767,863
2033,2845,5726,813
1998,2702,5820,705
2021,2766,5807,746
2007,2755,5757,749
2065,2950,5714,886
2041,2823,5812,783
2039,2856,5737,818
2038,2850,5749,813
2047,2894,5714,848
2082,3012,5701,931
2034,2835,5739,802
2033,2839,5760,807
2016,2773,5784,758
2040,2896,5736,857
2061,2951,5713,891
2087,3028,5688,942
1991,2683,5859,693
1988,2722,5734,735
2049,2883,5763,835
2074,2988,5741,915
1993,2665,5843,673
2073,2960,5734,888
2122,3034,5887,913
2048,2863,5792,816
2067,2954,5733,888
2022,2810,5763,789
2011,2781,5719,771
2009,2764,5758,756
2022,2808,5759,787
2068,2942,5729,875
2039,2857,5768,819
2063,2922,5758,860
2123,3126,5685,1004
2067,2912,5804,846
2057,2927,5719,871
2043,2796,5883,754
1976,2691,5724,716
2034,2893,5669,860
1998,2737,5744,740
2048,2862,5807,815
2067,2958,5715,892
2023,2818,5738,796
2098,3032,5719,935
2032,2829,5769,798
2064,2958,5700,895
2079,2992,5698,914
2045,2853,5799,809
2066,2921,5802,856
2036,2817,5813,782
1981,2695,5754,715
1984,2729,5686,746
2031,2807,5799,777
2087,3048,5672,962
2033,2862,5713,830
2016,2815,5714,800
2029,2828,5742,800
2048,2840,5838,793
2053,2904,5739,852
2015,2761,5822,747
2063,2932,5735,870
2074,2907,5830,834
2037,2864,5735,828
2024,2824,5751,801
1991,2724,5744,734
2086,2980,5752,895
2075,2968,5740,894
2032,2872,5667,841
2054,2903,5777,850
2043,2899,5690,857
2088,2995,5759,908
2058,2879,5820,822
2083,2990,5741,908
2076,2957,5769,882
2038,2795,5866,758
2102,3033,5744,932
2045,2912,5686,868
2079,2962,5762,884
2034,2843,5736,810
2087,2967,5782,881
2119,3102,5714,984
1999,2746,5766,748
2025,2818,5715,794
2127,3111,5756,985
2022,2844,5685,823
2053,2926,5677,874
2024,2813,5752,790
2094,2986,5790,893
2055,2903,5772,849
2044,2872,5783,829
2077,2949,5807,873
2010,2746,5797,737
2037,2775,5885,739
2048,2835,5850,788
2059,2912,5754,854
2040,2886,5700,847
2090,3004,5725,915
2102,2994,5853,893
2066,2932,5769,867
2065,2930,5759,866
2041,2832,5824,792
1980,2678,5775,699
2057,2948,5660,892
1997,2744,5752,748
2031,2833,5760,803
2070,2945,5758,876
2078,2976,5754,899
2034,2839,5784,806
2052,2872,5755,821
2047,2872,5777,826
2070,2922,5794,853
2066,2869,5876,804
2008,2786,5700,779
2097,2989,5835,893
2052,2865,5819,814
2050,2852,5815,803
2046,2879,5756,834
2048,2867,5797,820
2033,2856,5735,824
2065,2898,5801,834
2029,2803,5803,775
2064,2926,5758,863
2025,2791,5811,767
2053,2912,5734,860
2070,2988,5685,919
2006,2793,5694,788
2041,2901,5697,861
1974,2665,5785,692
2042,2858,5733,817
2055,2888,5798,834
2029,2792,5815,764
2066,2947,5749,882
2087,3012,5726,926
2053,2920,5705,868
2101,2953,5925,853
2080,2966,5797,887
2045,2905,5688,861
2062,2901,5810,840
2033,2870,5682,838
2037,2844,5772,808
1997,2731,5765,735
2025,2811,5767,787
2087,2963,5783,877
2008,2762,5774,755
2112,3049,5779,938
2037,2893,5690,857
2042,2879,5718,838
2071,2954,5725,884
2047,2824,5866,778
2023,2796,5805,774
2053,2883,5751,831
2070,2939,5758,870
2018,2820,5715,803
2016,2750,5830,735
1994,2718,5767,725
2082,2964,5729,883
2060,2874,5838,815
2045,2868,5750,824
2040,2822,5837,783
1989,2679,5876,691
2027,2852,5718,826
2000,2724,5796,725
2017,2784,5773,768
2034,2816,5805,783
2062,2953,5673,892
2053,2891,5746,839
2026,2821,5745,796
2126,3113,5725,988
2052,2933,5692,882
2012,2792,5753,781
2083,2997,5742,915
2068,2971,5722,904
2006,2805,5660,800
2118,3103,5718,986
2035,2878,5701,844
2066,2916,5823,851
2040,2900,5691,861
2077,2949,5790,873
2009,2737,5837,729
2044,2875,5729,832
2044,2871,5746,828
2034,2782,5898,749
2020,2771,5812,752
2011,2740,5811,730
2004,2710,5855,707
2025,2842,5690,818
2052,2917,5702,866
2011,2790,5762,780
2050,2877,5770,828
2077,2922,5823,846
2046,2938,5644,893
1989,2695,5777,707
2047,2871,5759,825
2037,2825,5803,789
2053,2879,5799,827
2028,2854,5704,827
2068,2913,5806,846
1967,2573,5912,607
2037,2841,5778,805
2021,2810,5742,790
2019,2855,5681,837
2051,2865,5812,815
2082,2967,5780,886
2058,2885,5798,828
2035,2843,5777,809
2000,2782,5657,783
1999,2767,5756,769
2029,2726,5950,698
2104,3036,5794,933
2064,2918,5783,855
2006,2758,5763,753
2063,2931,5722,869
2034,2828,5798,795
2001,2732,5770,732
2060,2925,5749,866
2023,2810,5765,788
2015,2752,5826,738
2060,2848,5856,789
2100,3012,5776,913
1993,2700,5819,708
1983,2677,5806,695
2077,2953,5785,877
2061,2895,5822,835
2077,2937,5826,861
2045,2874,5735,830
2021,2821,5735,801
2014,2791,5785,778
2107,3047,5770,941
2075,2971,5708,897
2054,2887,5790,834
2005,2792,5695,788
1986,2696,5765,711
2063,2904,5820,842
2071,2938,5800,868
2074,2971,5712,898
2100,3017,5763,918
2054,2909,5740,856
2045,2875,5728,831
2046,2878,5749,833
2072,2891,5849,820
2087,2999,5723,913
2039,2863,5731,825
2044,2912,5694,869
2042,2868,5745,827
2049,2884,5794,836
2113,3063,5800,951
2072,2950,5748,879
2056,2918,5731,863
1998,2738,5771,741
2032,2869,5672,838
2067,2890,5849,824
2076,2952,5750,877
2093,3015,5717,923
2049,2892,5734,844
2056,2886,5806,831
1946,2614,5728,669
2045,2863,5797,819
2074,2912,5880,839
2042,2873,5741,832
2082,2959,5808,878
2011,2765,5792,755
2081,2981,5711,901
2069,2981,5685,913
2043,2913,5671,871
1995,2726,5753,732
2018,2768,5798,751
2088,3014,5693,927
2051,2873,5779,823
2062,2933,5700,872
2029,2785,5798,757
2047,2857,5799,811
2087,2957,5811,871
2114,3094,5695,981
2013,2758,5800,746
2050,2893,5727,844
2032,2791,5872,760
2070,2963,5741,894
2064,2917,5792,854
1974,2664,5786,691
2040,2868,5738,829
2053,2885,5800,833
2043,2871,5715,829
2074,2975,5739,902
2065,2927,5734,863
2059,2921,5736,863
2056,2909,5742,854
2039,2911,5654,873
1998,2724,5798,727
2058,2959,5684,902
2079,2969,5724,891
2057,2903,5743,847
2054,2936,5685,883
2067,2916,5804,850
2051,2897,5716,847
2047,2885,5732,839
2066,2916,5760,851
2026,2842,5730,817
2010,2733,5825,724
2031,2781,5819,751
2018,2797,5749,780
2005,2760,5753,756
2052,2875,5793,824
2039,2841,5782,803
2134,3078,5858,945
2007,2787,5721,781
2011,2804,5737,794
2023,2771,5835,749
2085,2974,5771,890
2023,2839,5737,817
2027,2774,5860,748
2061,2899,5807,839
2085,2961,5790,877
2061,2912,5776,852
2055,2906,5743,852
2052,2898,5746,847
2040,2823,5840,784
1969,2688,5722,720
2112,3083,5719,972
1996,2742,5709,747
2127,3137,5686,1011
2071,2965,5702,895
2093,3038,5708,946
1998,2746,5738,749
2045,2886,5720,842
2092,3007,5756,916
2105,3019,5790,915
2069,2997,5613,929
2061,2955,5652,895
2010,2764,5791,755
2063,2938,5761,876
2041,2842,5820,802
2042,2811,5843,770
2101,3044,5717,944
2088,2956,5831,869
2042,2884,5712,843
2047,2879,5765,833
2009,2797,5694,789
2096,2974,5829,879
2053,2936,5654,884
2098,3014,5762,917
2001,2765,5729,765
2077,2922,5831,846
2131,3140,5719,1010
2013,2756,5810,744
2056,2916,5720,861
2019,2799,5764,781
2042,2880,5755,839
2003,2775,5714,773
2036,2865,5719,830
2064,2947,5728,884
2035,2779,5882,745
2063,2873,5870,811
2020,2847,5683,828
2032,2818,5787,787
2053,2905,5747,853
2063,2924,5769,862
2061,2948,5676,888
2036,2853,5765,818
2061,2897,5801,837
2039,2865,5734,827
2013,2822,5696,810
2074,2974,5734,901
2048,2858,5823,811
2037,2911,5627,875
2047,2873,5786,827
2034,2807,5803,774
2061,2920,5769,860
2054,2843,5863,790
2030,2789,5836,760
2085,3038,5687,954
2039,2888,5686,850
2006,2756,5774,751
2018,2780,5787,763
1986,2706,5758,721
2032,2829,5779,798
2092,3052,5701,961
2010,2761,5770,752
2021,2783,5799,763
2047,2895,5727,849
2016,2813,5725,798
2039,2862,5757,824
2053,2907,5738,855
2002,2705,5854,704
2028,2857,5702,830
2092,3022,5700,931
2020,2811,5760,792
2069,2899,5807,831
2082,2958,5810,877
2062,2937,5730,876
2095,3021,5711,927
2037,2797,5865,761
2045,2942,5656,898
2054,2885,5775,832
2103,3024,5780,922
2038,2870,5761,833
2056,2879,5813,824
2035,2819,5806,785
2101,3029,5771,929
2075,2960,5781,886
2044,2872,5767,829
2019,2752,5810,734
2050,2872,5788,823
2047,2880,5752,834
2073,2986,5700,914
2053,2871,5780,819
2118,3083,5754,966
2071,2953,5744,883
2068,2882,5891,815
1994,2740,5731,747
1995,2762,5734,768
2065,2891,5814,827
1997,2764,5693,768
2088,3026,5676,939
1987,2729,5729,743
2040,2862,5726,823
2029,2802,5818,774
2039,2849,5751,811
2055,2872,5829,818
2081,3056,5611,976
2033,2816,5795,784
2039,2847,5798,809
2044,2864,5771,821
2069,2943,5769,875
2040,2919,5653,880
2070,2990,5683,921
2018,2792,5762,775
2103,3077,5725,975
1977,2652,5818,676
2031,2872,5700,842
2066,2936,5720,871
2083,2977,5728,895
2072,2942,5772,871
2040,2860,5762,821
2050,2874,5747,825
2065,2912,5771,848
2041,2886,5699,846
2012,2799,5734,788
2049,2866,5786,818
2037,2839,5802,803
2084,2942,5817,859
2039,2831,5794,793
2055,2874,5803,820
2085,2942,5836,858
2001,2722,5813,722
2069,2919,5779,851
2059,2912,5775,854
2032,2821,5762,790
2026,2819,5765,794
2047,2870,5765,824
2094,3020,5732,927
2077,2990,5725,914
1996,2770,5666,775
2074,2910,5818,837
2027,2769,5828,743
2010,2783,5734,774
2054,2873,5799,820
2079,3022,5676,944
2080,2998,5691,919
2031,2842,5752,812
2101,3042,5727,942
2005,2719,5807,715
2058,2925,5720,868
2018,2809,5743,792
2040,2846,5775,807
2066,2952,5729,887
2051,2888,5767,838
2029,2832,5739,804
2040,2818,5819,779
2032,2847,5743,816
2058,2922,5764,865
2022,2844,5693,823
2004,2776,5731,773
2032,2854,5742,823
2093,2997,5788,905
2069,2904,5828,836
2088,2997,5725,910
2021,2846,5694,826
2098,3098,5584,1001
2031,2821,5773,791
1992,2698,5766,707
2022,2804,5769,783
2060,2945,5693,886
2038,2885,5670,848
2057,2930,5707,874
2078,2984,5726,907
2048,2899,5712,852
2050,2857,5826,808
2044,2884,5731,841
2058,2902,5761,845
2086,2992,5746,907
2069,2989,5681,921
1963,2637,5766,675
1998,2700,5832,703
2132,3083,5840,952
2088,2981,5780,894
2063,2917,5743,855
2031,2828,5755,798
2023,2817,5749,795
2086,2990,5761,905
2035,2851,5753,817
2044,2847,5785,804
2009,2767,5769,759
2017,2831,5687,815
2111,3059,5737,949
2066,2846,5908,781
2026,2835,5727,810
2045,2874,5758,830
2050,2912,5694,863
2079,2996,5714,918
2040,2836,5819,797
2071,2933,5771,863
2042,2868,5767,827
2080,2978,5771,899
2108,3085,5703,978
2035,2836,5789,802
2054,2908,5728,855
2112,3093,5675,982
2070,2935,5764,866
2076,2947,5791,872
2046,2875,5749,830
2038,2921,5659,884
2023,2783,5811,761
2091,3071,5632,981
2026,2816,5789,791
2069,2950,5734,882
2046,2881,5766,836
2073,2984,5703,912
2037,2840,5787,804
2024,2802,5779,779
2054,2882,5769,829
2016,2750,5794,735
2071,2897,5823,827
2072,2929,5790,858
2067,2932,5765,866
2096,3086,5638,991
2057,2913,5757,857
2081,2989,5713,909
2003,2727,5789,725
2079,3011,5689,933
1995,2715,5816,721
2117,3073,5756,957
2005,2795,5711,791
2011,2768,5783,758
2011,2764,5769,754
1995,2756,5711,762
2076,2979,5696,904
2116,3116,5714,1001
2015,2789,5745,775
2022,2832,5700,811
2001,2777,5709,777
2033,2776,5872,744
2010,2789,5725,780
2008,2759,5784,752
1968,2710,5647,743
2025,2822,5753,798
2025,2814,5746,790
1996,2715,5769,720
2020,2864,5643,845
2046,2861,5752,816
2049,2899,5727,851
2045,2891,5674,847
2052,2907,5724,856
2079,2916,5833,838
2095,2968,5847,874
2045,2865,5794,821
2020,2818,5733,799
2027,2866,5697,840
2010,2720,5863,711
2054,2922,5735,869
2039,2805,5849,767
2027,2820,5770,794
2049,2933,5666,885
2040,2849,5776,810
2028,2839,5744,812
2057,2854,5881,798
2106,3110,5658,1005
2043,2824,5833,782
2036,2880,5728,845
2084,2960,5762,877
2046,2880,5757,835
2051,2868,5788,818
2006,2772,5751,767
2077,2935,5809,859
2058,2968,5675,911
2059,2893,5802,835
2080,2938,5829,859
2083,2964,5777,882
2060,2939,5722,880
2037,2845,5794,809
2057,2890,5779,834
2052,2807,5935,756
2056,2892,5783,837
2023,2811,5789,789
1965,2665,5705,701
2025,2801,5775,777
2033,2872,5685,840
1980,2701,5752,722
2030,2892,5613,863
2050,2874,5762,825
2046,2858,5789,813
2070,2945,5745,876
2012,2819,5700,808
2038,2820,5794,783
1980,2690,5756,711
2028,2849,5711,822
2018,2768,5809,751
2050,2839,5846,790
2062,2920,5771,859
2045,2863,5774,819
2076,2922,5822,847
2059,2885,5820,827
2103,3018,5770,916
2055,2961,5642,907
2067,2956,5730,890
2042,2865,5762,824
2096,3003,5789,908
2026,2772,5844,747
2098,3011,5755,914
2067,2943,5753,877
2075,2899,5831,825
2070,2950,5745,881
2064,2885,5820,822
2093,3005,5763,913
2060,2954,5682,895
2022,2829,5744,808
2015,2765,5803,751
2013,2815,5713,803
2045,2886,5711,842
2090,2949,5867,860
2094,3010,5750,917
2087,2982,5775,896
2082,2980,5761,899
2025,2852,5711,828
2062,2944,5724,883
2009,2771,5755,763
2036,2764,5877,729
2023,2821,5734,799
2073,2933,5783,861
2024,2834,5741,811
1992,2705,5781,714
2047,2883,5755,837
2083,2997,5743,915
2052,2905,5746,854
2035,2855,5741,821
2031,2834,5788,804
2086,2968,5791,883
2071,2976,5702,906
2025,2826,5736,802
2066,2933,5745,868
2047,2811,5871,765
2054,2932,5681,879
2030,2841,5718,812
1982,2732,5668,751
2085,3008,5717,924
2047,2888,5778,842
2025,2760,5860,736
2071,2942,5771,872
2029,2815,5769,787
2052,2909,5721,858
2107,3066,5746,960
2083,2955,5805,873
2076,2956,5767,881
2063,2905,5765,843
2031,2854,5713,824
2083,3009,5718,927
2103,3017,5780,915
2080,3023,5698,944
2038,2870,5728,833
2032,2838,5765,807
1984,2677,5805,694
2016,2818,5726,803
2069,2909,5841,841
2066,2945,5746,880
2102,2996,5817,895
2024,2812,5764,789
2073,2947,5784,875
2069,2988,5704,920
2069,2949,5743,881
2062,2931,5745,870
2061,2882,5818,822
2039,2861,5748,823
1984,2703,5756,720
2036,2845,5767,810
1987,2677,5830,691
2004,2798,5679,795
2029,2802,5816,774
2063,2931,5741,869
2034,2850,5729,817
2080,2956,5793,877
2038,2826,5809,789
2028,2802,5796,775
2041,2822,5855,782
2016,2788,5756,773
2073,2899,5837,827
2039,2874,5725,836
2001,2774,5691,774
2021,2818,5748,798
2085,3002,5735,918
2069,2912,5823,844
2024,2791,5803,768
2083,2970,5766,888
2068,2880,5856,813
2047,2885,5729,839
2086,2936,5853,851
2054,2873,5840,820
2059,2921,5737,863
2014,2781,5750,768
2005,2721,5834,717
2069,2937,5751,869
2087,3005,5750,919
2078,2936,5799,859
2077,2967,5751,891
2009,2749,5811,741
1997,2789,5634,793
2069,2903,5827,835
2050,2872,5817,823
2024,2819,5717,796
2086,3010,5773,925
2015,2734,5840,720
2082,3000,5721,919
2054,2923,5719,870
2005,2698,5854,694
2058,2883,5804,826
2070,2935,5769,866
2066,2898,5832,833
2066,2920,5784,855
2045,2883,5741,839
2057,2872,5834,816
2088,2994,5745,907
2087,2917,5909,831
2048,2851,5810,804
1992,2737,5726,746
2018,2750,5864,733
2008,2729,5844,722
2024,2856,5695,833
2043,2874,5744,832
2069,2950,5747,882
2035,2814,5791,780
2009,2783,5773,775
2047,2882,5760,836
2070,2942,5742,873
2042,2828,5807,787
2063,2967,5688,905
2067,2965,5683,899
2087,2941,5866,855
2064,2946,5702,883
2024,2773,5843,750
2029,2876,5684,848
2080,2940,5772,861
2064,2921,5777,858
2018,2819,5690,802
2062,2928,5742,867
2109,3044,5786,936
2062,2912,5753,851
2019,2811,5743,793
2029,2810,5773,782
2019,2754,5811,736
2047,2860,5779,814
2056,2949,5662,894
2114,3083,5751,970
2064,2961,5695,898
2015,2841,5696,827
2015,2781,5791,767
2052,2878,5800,827
2051,2838,5856,788
2088,2961,5811,874
1999,2732,5756,734
2086,2963,5818,878
2002,2761,5742,760
2093,2941,5873,849
